Chave,Titulo,Status,Start Date,Deadline
BF3E4-293,[Dependências] Stellantis | Fase 3,TODO EPICO,2026-02-21,2026-03-06
BF3E4-60,9. [Comercial] Produção Assistida,OPEN EPICO,2026-07-30,2026-08-28
BF3E4-59,9. [Comercial] Preparo Produção,OPEN EPICO,2026-07-22,2026-07-29
BF3E4-58,9. [Comercial] Homologação,OPEN EPICO,2026-06-22,2026-07-21
BF3E4-57,8. [Supply Chain] Produção Assistida,OPEN EPICO,2026-07-23,2026-08-21
BF3E4-56,8. [Supply Chain] Preparo Produção,OPEN EPICO,2026-07-15,2026-07-22
BF3E4-55,8. [Supply Chain] Homologação,OPEN EPICO,2026-06-01,2026-07-14
BF3E4-54,7. [Finance] Produção Assistida,OPEN EPICO,2026-07-21,2026-08-19
BF3E4-53,7. [Finance] Preparo Produção,OPEN EPICO,2026-07-13,2026-07-20
BF3E4-52,7. [Finance] Homologação,OPEN EPICO,2026-06-15,2026-07-10
BF3E4-51,6. [RH] Produção Assistida,OPEN EPICO,2026-07-21,2026-08-19
BF3E4-50,6. [RH] Preparo Produção,OPEN EPICO,2026-07-13,2026-07-20
BF3E4-49,6. [RH] Homologação,OPEN EPICO,2026-06-15,2026-07-10
BF3E4-48,5. [Shared Services] Produção Assistida,OPEN EPICO,2026-07-21,2026-08-19
BF3E4-47,5. [Shared Services] Preparo Produção,OPEN EPICO,2026-07-13,2026-07-20
BF3E4-46,5. [Shared Services] Homologação,OPEN EPICO,2026-06-01,2026-07-08
BF3E4-45,4. [Cliente] Produção Assistida,OPEN EPICO,2026-06-30,2026-07-31
BF3E4-44,4. [Cliente] Preparo Produção,OPEN EPICO,2026-06-22,2026-06-29
BF3E4-43,4. [Cliente] Homologação,OPEN EPICO,2026-05-18,2026-06-19
BF3E4-42,3. [Mopar] Produção Assistida,OPEN EPICO,2026-06-30,2026-07-31
BF3E4-41,3. [Mopar] Preparo Produção,OPEN EPICO,2026-06-22,2026-06-29
BF3E4-40,3. [Mopar] Homologação,OPEN EPICO,2026-05-18,2026-06-19
BF3E4-37,1. [BMC] Produção Assistida,OPEN EPICO,2026-04-28,2026-05-28
BF3E4-36,1. [BMC] Preparo Produção,OPEN EPICO,2026-04-20,2026-04-27
BF3E4-35,1. [BMC] Homologação,OPEN EPICO,2026-04-07,2026-04-17
BF3E4-32,2. [Compras] Preparo Produção,OPEN EPICO,2026-05-09,2026-05-16
BF3E4-31,2. [Compras] Produção Assistida,OPEN EPICO,2026-05-17,2026-06-15
BF3E4-30,2. [Compras] Homologação,OPEN EPICO,2026-04-20,2026-05-08
BF3E4-23,DEVOPS,OPEN EPICO,,
BF3E4-22,9.[Comercial] Desenvolvimento ,OPEN EPICO,2026-03-23,2026-06-19
BF3E4-21,5.[Shared Services] Desenvolvimento (2 Squads),OPEN EPICO,2026-03-23,2026-05-29
BF3E4-20,8. [Supply Chain] Desenvolvimento,OPEN EPICO,2026-03-23,2026-05-29
BF3E4-19,7. [Finance] Desenvolvimento,OPEN EPICO,2026-03-23,2026-06-12
BF3E4-18,6. [RH] Desenvolvimento,OPEN EPICO,2026-03-23,2026-06-12
BF3E4-17,4.[Cliente] Desenvolvimento,OPEN EPICO,2026-03-23,2026-05-15
BF3E4-10,3.[Mopar] Desenvolvimento,OPEN EPICO,2026-03-23,2026-05-15
BF3E4-9,2. [Compras] Desenvolvimento,OPEN EPICO,2026-03-09,2026-04-17
BF3E4-1,1. [BMC] Desenvolvimento,OPEN EPICO,2026-03-09,2026-04-06
